TIME(2019/11/15 15:04:25.869),TIMETICK(f=2143473),FPOGX,FPOGY,FPOGD,FPOGV,
0.00000,382367253214,0.41831,0.12448,0.00000,1,
0.01563,382367286380,0.42020,0.12879,0.01563,1,
0.03467,382367327430,0.42098,0.12918,0.03467,1,
0.04883,382367357282,0.42156,0.12964,0.04883,1,
0.06494,382367392717,0.42151,0.13286,0.06494,1,
0.08105,382367426936,0.42114,0.13584,0.08105,1,
0.09766,382367462273,0.42084,0.13822,0.09766,1,
0.11377,382367497286,0.42018,0.13933,0.11377,1,
0.13037,382367532416,0.42141,0.14006,0.13037,1,
0.14990,382367574327,0.42251,0.14092,0.14990,1,
0.16504,382367606633,0.42419,0.14265,0.16504,1,
0.18115,382367641205,0.42483,0.14321,0.18115,1,
0.19873,382367678819,0.42529,0.14259,0.19873,1,
0.21289,382367709796,0.42556,0.14171,0.21289,1,
0.22998,382367746152,0.42602,0.13993,0.22998,1,
0.25049,382367789968,0.42639,0.13818,0.25049,1,
0.26318,382367816839,0.42577,0.13731,0.26318,1,
0.28076,382367855180,0.42499,0.13806,0.28076,1,
0.29639,382367888711,0.42432,0.13894,0.29639,1,
0.31201,382367921509,0.42377,0.13870,0.31201,1,
0.32813,382367956296,0.42284,0.13780,0.32813,1,
0.34424,382367990962,0.42194,0.13662,0.34424,1,
0.36035,382368025915,0.42155,0.13555,0.36035,1,
0.37744,382368062010,0.42138,0.13468,0.37744,1,
0.39502,382368100269,0.42125,0.13436,0.39502,1,
0.41016,382368131818,0.42167,0.13473,0.41016,1,
0.42627,382368167181,0.42164,0.13550,0.42627,1,
0.44287,382368202356,0.42165,0.13650,0.44287,1,
0.45898,382368237033,0.42170,0.13725,0.45898,1,
0.47607,382368274009,0.42181,0.13830,0.47607,1,
0.49268,382368309136,0.42191,0.13929,0.49268,1,
0.50879,382368343300,0.42075,0.14566,0.50879,1,
0.52490,382368378436,0.41110,0.18785,0.50879,0,
0.54150,382368413480,0.38299,0.32403,0.50879,0,
0.55762,382368448175,0.34979,0.47859,0.50879,0,
0.57422,382368483585,0.30809,0.72154,0.50879,0,
0.59277,382368523379,0.29472,0.81576,0.50879,0,
0.60693,382368553682,0.28570,0.83780,0.50879,0,
0.62354,382368589308,0.27195,0.88340,0.50879,0,
0.63965,382368624456,0.26737,0.86859,0.50879,0,
0.65625,382368659279,0.26359,0.87083,0.50879,0,
0.67236,382368694226,0.25827,0.87221,0.04883,1,
0.68945,382368730476,0.25560,0.87367,0.06592,1,
0.70605,382368766120,0.25601,0.87089,0.08252,1,
0.72217,382368801153,0.25740,0.87069,0.09863,1,
0.73975,382368838690,0.25839,0.87036,0.11621,1,
0.75488,382368871460,0.25743,0.86882,0.13135,1,
0.77148,382368906280,0.25678,0.86998,0.14795,1,
0.78809,382368942585,0.25621,0.87089,0.16455,1,
0.80469,382368978253,0.24990,0.87809,0.18115,1,
0.82129,382369013172,0.24720,0.88239,0.19775,1,
0.83838,382369049731,0.24469,0.88589,0.21484,1,
0.85352,382369082855,0.24282,0.88921,0.22998,1,
0.87012,382369118548,0.23878,0.89144,0.24658,1,
0.88721,382369155031,0.23525,0.89349,0.26367,1,
0.90381,382369190558,0.23328,0.89686,0.28027,1,
0.91992,382369225056,0.23224,0.90056,0.29639,1,
0.93604,382369259682,0.21366,0.92654,0.29639,0,
0.95264,382369294676,0.21746,0.94329,0.29639,0,
0.97021,382369333115,0.21587,0.95398,0.29639,0,
0.98486,382369364261,0.21389,0.95856,0.04883,1,
1.00146,382369399266,0.21412,0.95255,0.06543,1,
1.02197,382369443483,0.21204,0.95168,0.08594,1,
1.03613,382369473565,0.21066,0.95122,0.10010,1,
1.05127,382369506642,0.21105,0.95061,0.11523,1,
1.07227,382369551009,0.21174,0.95235,0.13623,1,
1.08398,382369576298,0.21248,0.95385,0.14795,1,
1.10107,382369613188,0.21145,0.95456,0.16504,1,
1.11670,382369646954,0.20914,0.95561,0.18066,1,
1.13281,382369680855,0.20698,0.95634,0.19678,1,
1.15186,382369722543,0.20507,0.95539,0.21582,1,
1.16602,382369752837,0.20262,0.95756,0.22998,1,
1.18311,382369788948,0.20037,0.95934,0.24707,1,
1.19971,382369824872,0.19707,0.95847,0.26367,1,
1.21533,382369857828,0.19414,0.95714,0.27930,1,
1.23145,382369892752,0.19162,0.95608,0.29541,1,
1.24756,382369927351,0.18789,0.95319,0.31152,1,
1.26416,382369962952,0.18514,0.95342,0.32813,1,
1.28125,382369999412,0.18283,0.95382,0.34521,1,
1.29785,382370034744,0.15315,0.95083,0.34521,0,
1.31348,382370068690,0.14841,0.94373,0.34521,0,
1.33008,382370104397,0.14544,0.93961,0.34521,0,
1.34619,382370138237,0.13581,0.95445,0.04834,1,
1.36523,382370179233,0.12933,0.96207,0.06738,1,
1.37891,382370209067,0.12325,0.96616,0.08105,1,
1.39551,382370244628,0.11728,0.96545,0.09766,1,
1.41211,382370280031,0.11245,0.96642,0.11426,1,
1.42822,382370314738,0.10921,0.96753,0.13037,1,
1.44482,382370350101,0.11038,0.96761,0.14697,1,
1.46191,382370386199,0.11147,0.96622,0.16406,1,
1.47803,382370421296,0.11298,0.96547,0.18018,1,
1.49463,382370457299,0.11284,0.96432,0.19678,1,
1.51074,382370491764,0.11357,0.96404,0.21289,1,
1.52686,382370526388,0.11435,0.96384,0.22900,1,
1.54346,382370561224,0.11839,0.96327,0.24561,1,
1.56006,382370596682,0.12140,0.96394,0.26221,1,
1.57617,382370631754,0.12409,0.96458,0.27832,1,
1.59277,382370666739,0.12613,0.96315,0.29492,1,
1.60889,382370702264,0.12830,0.96172,0.31104,1,
1.62646,382370739736,0.13024,0.96040,0.32861,1,
1.64307,382370774833,0.13178,0.96043,0.34521,1,
1.65918,382370809339,0.13218,0.95966,0.36133,1,
1.68213,382370858760,0.13213,0.95864,0.38428,1,
1.69238,382370881214,0.13286,0.95692,0.39453,1,
1.70850,382370915321,0.15573,0.94338,0.39453,0,
1.72559,382370951934,0.14697,0.91947,0.39453,0,
1.74268,382370988329,0.14891,0.92205,0.39453,0,
1.75732,382371020348,0.15100,0.93087,0.04883,1,
1.77344,382371054945,0.15357,0.93713,0.06494,1,
1.79053,382371091384,0.15578,0.93882,0.08203,1,
1.80762,382371127449,0.15885,0.94069,0.09912,1,
1.82373,382371162110,0.16149,0.94236,0.11523,1,
1.84033,382371197538,0.17204,0.93539,0.13184,1,
1.85596,382371231690,0.18557,0.91060,0.14746,1,
1.87354,382371269376,0.19663,0.89032,0.16504,1,
1.88818,382371300875,0.21371,0.85184,0.17969,1,
1.90674,382371340030,0.23172,0.81245,0.19824,1,
1.92285,382371374425,0.26379,0.75464,0.19824,0,
1.93994,382371411476,0.34208,0.55844,0.19824,0,
1.96875,382371473181,0.37227,0.49450,0.19824,0,
1.97217,382371480829,0.42856,0.36516,0.19824,0,
1.99023,382371518888,0.43603,0.35896,0.19824,0,
2.00684,382371554353,0.44148,0.35373,0.19824,0,
2.02441,382371592518,0.44420,0.35112,0.05225,1,
2.04150,382371628920,0.44156,0.34137,0.06934,1,
2.05762,382371663684,0.43899,0.33773,0.08545,1,
2.07129,382371693073,0.43715,0.33513,0.09912,1,
2.08691,382371725935,0.43694,0.33060,0.11475,1,
2.10254,382371759933,0.43793,0.32663,0.13037,1,
2.12109,382371800142,0.43871,0.32346,0.14893,1,
2.13867,382371837380,0.42756,0.32070,0.16650,1,
2.15430,382371870484,0.41500,0.32498,0.18213,1,
2.18506,382371936920,0.39529,0.33178,0.21289,1,
2.20117,382371970943,0.38710,0.33321,0.22900,1,
2.22021,382372012597,0.37993,0.33446,0.24805,1,
2.25146,382372078794,0.31373,0.32632,0.24805,0,
2.26953,382372117309,0.30199,0.32085,0.24805,0,
2.28320,382372147035,0.29321,0.31980,0.04639,1,
2.30078,382372185252,0.28992,0.31518,0.06396,1,
2.31641,382372218093,0.28748,0.31141,0.07959,1,
2.33691,382372262674,0.28096,0.30376,0.10010,1,
2.35352,382372297978,0.27639,0.29706,0.11670,1,
2.36670,382372325795,0.27327,0.29374,0.12988,1,
2.38135,382372357841,0.26914,0.29282,0.14453,1,
2.39844,382372394037,0.26562,0.29242,0.16162,1,
2.41455,382372428525,0.26289,0.29300,0.17773,1,
2.43066,382372463112,0.26054,0.29394,0.19385,1,
2.45020,382372504703,0.25899,0.29611,0.21338,1,
2.46387,382372534506,0.25791,0.29897,0.22705,1,
2.47949,382372568298,0.25728,0.29592,0.24268,1,
2.49609,382372603662,0.25649,0.29125,0.25928,1,
2.51270,382372639226,0.25566,0.28639,0.27588,1,
2.52930,382372674608,0.25482,0.28140,0.29248,1,
2.54590,382372709755,0.25450,0.27526,0.30908,1,
2.56494,382372750907,0.25415,0.26950,0.32813,1,
2.57813,382372779446,0.23957,0.24090,0.32813,0,
2.59473,382372814567,0.23666,0.21260,0.32813,0,
2.61133,382372850353,0.23750,0.21132,0.32813,0,
2.62744,382372885136,0.23613,0.21590,0.04932,1,
2.64404,382372920854,0.23765,0.22109,0.06592,1,
2.66064,382372956326,0.23885,0.22505,0.08252,1,
2.67676,382372991071,0.24145,0.22806,0.09863,1,
2.69385,382373026890,0.24022,0.22797,0.11572,1,
2.71094,382373063456,0.23921,0.22768,0.13281,1,
2.72754,382373099567,0.24025,0.22780,0.14941,1,
2.74365,382373133676,0.24046,0.22829,0.16553,1,
2.76074,382373170996,0.24035,0.22739,0.18262,1,
2.77588,382373203668,0.23940,0.22468,0.19775,1,
2.79492,382373243973,0.23856,0.21997,0.21680,1,
2.81006,382373276696,0.23767,0.21525,0.23193,1,
2.82520,382373308734,0.23720,0.21308,0.24707,1,
2.84277,382373346305,0.23739,0.21353,0.26465,1,
2.85791,382373379500,0.23786,0.21524,0.27979,1,
2.87451,382373414189,0.23767,0.21571,0.29639,1,
2.89453,382373457611,0.23813,0.21720,0.31641,1,
2.91064,382373492361,0.23861,0.21869,0.33252,1,
2.92334,382373519282,0.23933,0.21935,0.34521,1,
2.94092,382373556436,0.23977,0.21988,0.36279,1,
2.95654,382373590213,0.24005,0.21989,0.37842,1,
2.97266,382373624902,0.23995,0.21969,0.39453,1,
2.98975,382373661292,0.23985,0.21906,0.41162,1,
3.00684,382373698559,0.23981,0.21863,0.42871,1,
3.02197,382373730553,0.23943,0.21944,0.44385,1,
3.04004,382373769062,0.23952,0.21967,0.46191,1,
3.05957,382373811355,0.23955,0.21975,0.48145,1,
3.07178,382373837719,0.23913,0.21996,0.49365,1,
3.08838,382373872863,0.23868,0.21999,0.51025,1,
3.10449,382373907550,0.23832,0.22027,0.52637,1,
3.12646,382373955092,0.23819,0.22077,0.54834,1,
3.13916,382373981359,0.23850,0.22171,0.56104,1,
3.15479,382374015327,0.23887,0.22286,0.57666,1,
3.17041,382374048318,0.23890,0.22408,0.59229,1,
3.18994,382374091044,0.23875,0.22529,0.61182,1,
3.20361,382374119511,0.23855,0.22622,0.62549,1,
3.21924,382374153466,0.23837,0.22708,0.64111,1,
3.23584,382374189475,0.23830,0.22771,0.65771,1,
3.25488,382374229605,0.23818,0.22809,0.67676,1,
3.26953,382374261399,0.23782,0.22835,0.69141,1,
3.28564,382374296301,0.23750,0.22859,0.70752,1,
3.30176,382374330809,0.23720,0.22885,0.72363,1,
3.31787,382374364878,0.23695,0.22905,0.73975,1,
3.33545,382374402333,0.23681,0.22933,0.75732,1,
3.35059,382374435149,0.23667,0.22959,0.77246,1,
3.36719,382374471064,0.23719,0.22940,0.78906,1,
3.38330,382374505452,0.23791,0.23032,0.80518,1,
3.39990,382374540482,0.23848,0.23047,0.82178,1,
3.41602,382374575634,0.23915,0.23008,0.83789,1,
3.43262,382374610871,0.23979,0.22926,0.85449,1,
3.44873,382374645794,0.24035,0.22803,0.87061,1,
3.46533,382374681182,0.24072,0.22700,0.88721,1,
3.48193,382374716501,0.24083,0.22641,0.90381,1,
3.49805,382374751513,0.24104,0.22630,0.91992,1,
3.51416,382374786143,0.24118,0.22637,0.93604,1,
3.53125,382374822315,0.24168,0.22650,0.95313,1,
3.54785,382374857515,0.24236,0.22748,0.96973,1,
3.56543,382374895912,0.24308,0.22883,0.98730,1,
3.58008,382374927415,0.24379,0.23056,1.00195,1,
3.59668,382374962857,0.24458,0.23258,1.01855,1,
3.61328,382374998476,0.24583,0.23483,1.03516,1,
3.62939,382375032847,0.24682,0.23559,1.05127,1,
3.64600,382375068477,0.24765,0.23564,1.06787,1,
3.66260,382375104160,0.24880,0.23593,1.08447,1,
3.67969,382375140052,0.27240,0.24893,1.08447,0,
3.69727,382375178221,0.28068,0.24322,1.08447,0,
3.71387,382375213492,0.29316,0.22984,1.08447,0,
3.72998,382375248114,0.30082,0.21666,0.05029,1,
3.74512,382375281041,0.30518,0.20792,0.06543,1,
3.76318,382375319301,0.30428,0.20839,0.08350,1,
3.77783,382375350973,0.30521,0.21458,0.09814,1,
3.79590,382375389538,0.30630,0.22127,0.11621,1,
3.81104,382375422100,0.30847,0.22372,0.13135,1,
3.82813,382375458995,0.30969,0.22407,0.14844,1,
3.84326,382375491011,0.31066,0.22396,0.16357,1,
3.85986,382375526222,0.31139,0.22320,0.18018,1,
3.87646,382375561903,0.31114,0.22117,0.19678,1,
3.89258,382375596953,0.31104,0.22042,0.21289,1,
3.91064,382375635370,0.31116,0.22476,0.23096,1,
3.92529,382375667093,0.31240,0.23041,0.24561,1,
3.94189,382375702635,0.31347,0.23497,0.26221,1,
3.95850,382375737602,0.31433,0.23626,0.27881,1,
3.97461,382375773114,0.31429,0.23545,0.29492,1,
3.99121,382375808124,0.31401,0.23347,0.31152,1,
4.00732,382375842730,0.31483,0.23167,0.32764,1,
4.02393,382375878183,0.31595,0.23172,0.34424,1,
4.04053,382375913919,0.31713,0.23279,0.36084,1,
4.05664,382375948760,0.31894,0.23281,0.37695,1,
4.07324,382375983582,0.32023,0.23393,0.39355,1,
4.08936,382376018791,0.32146,0.23507,0.40967,1,
4.10596,382376054107,0.32220,0.23561,0.42627,1,
4.12354,382376092167,0.32295,0.23600,0.44385,1,
4.13916,382376125071,0.32358,0.23598,0.45947,1,
4.15527,382376159939,0.32460,0.23544,0.47559,1,
4.17188,382376195765,0.32568,0.23516,0.49219,1,
4.18848,382376231170,0.32669,0.23493,0.50879,1,
4.20557,382376267433,0.32781,0.23495,0.52588,1,
4.22217,382376302938,0.32841,0.23505,0.54248,1,
4.23975,382376340670,0.32901,0.23535,0.56006,1,
4.26025,382376385136,0.32989,0.23570,0.58057,1,
4.27441,382376415170,0.33050,0.23680,0.59473,1,
4.28760,382376443734,0.33107,0.23773,0.60791,1,
4.30566,382376482088,0.33199,0.23750,0.62598,1,
4.32080,382376514359,0.33262,0.23627,0.64111,1,
4.33838,382376552191,0.33316,0.23471,0.65869,1,
4.35742,382376593193,0.33350,0.23318,0.67773,1,
4.37109,382376622289,0.33350,0.23211,0.69141,1,
4.38721,382376656890,0.33347,0.23090,0.70752,1,
4.40283,382376690045,0.33054,0.23052,0.72314,1,
4.42041,382376727891,0.32760,0.23001,0.74072,1,
4.44287,382376776779,0.32480,0.22961,0.76318,1,
4.45215,382376796641,0.30045,0.21114,0.76318,0,
4.47998,382376855356,0.26346,0.22853,0.76318,0,
4.50635,382376912847,0.24700,0.23595,0.05420,1,
4.52100,382376943421,0.24651,0.23223,0.06885,1,
4.53564,382376974763,0.24597,0.22909,0.08350,1,
4.55273,382377011847,0.24481,0.22500,0.10059,1,
4.57178,382377052242,0.24388,0.22648,0.11963,1,
4.58350,382377078249,0.24358,0.22943,0.13135,1,
4.60059,382377113874,0.24472,0.23067,0.14844,1,
4.61572,382377146936,0.24427,0.23368,0.16357,1,
4.63232,382377182781,0.24369,0.23519,0.18018,1,
4.64893,382377217489,0.24395,0.23543,0.19678,1,
4.67041,382377263889,0.24421,0.23454,0.21826,1,
4.68262,382377290233,0.24435,0.23350,0.23047,1,
4.69775,382377322839,0.24520,0.23400,0.24561,1,
4.71436,382377358524,0.24635,0.23589,0.26221,1,
4.73096,382377393871,0.24746,0.23778,0.27881,1,
4.74707,382377428523,0.24669,0.23798,0.29492,1,
4.76465,382377466295,0.24583,0.23773,0.31250,1,
4.78223,382377503545,0.24499,0.23733,0.33008,1,
4.79736,382377536227,0.24437,0.23679,0.34521,1,
4.81396,382377572150,0.24384,0.23717,0.36182,1,
4.83203,382377609991,0.24364,0.23874,0.37988,1,
4.84619,382377641064,0.24393,0.24137,0.39404,1,
4.86279,382377675922,0.24480,0.24408,0.41064,1,
4.87891,382377710623,0.24553,0.24614,0.42676,1,
4.89648,382377748881,0.24557,0.24701,0.44434,1,
4.91260,382377783529,0.24535,0.24646,0.46045,1,
4.92920,382377818254,0.24492,0.24497,0.47705,1,
4.94580,382377854648,0.24549,0.24339,0.49365,1,
4.96143,382377887515,0.24534,0.24220,0.50928,1,
4.97754,382377922700,0.24526,0.24147,0.52539,1,
4.99512,382377959771,0.24553,0.24106,0.54297,1,
5.01465,382378001513,0.24573,0.24173,0.56250,1,
5.02832,382378031728,0.24588,0.24209,0.57617,1,
5.04297,382378062335,0.24647,0.24108,0.59082,1,
5.05957,382378097921,0.24705,0.23943,0.60742,1,
5.07568,382378132702,0.24752,0.23766,0.62354,1,
5.09277,382378169625,0.24776,0.23673,0.64063,1,
5.10938,382378204563,0.24793,0.23670,0.65723,1,
5.12793,382378244520,0.24827,0.23749,0.67578,1,
5.15820,382378309281,0.24966,0.23883,0.70605,1,
5.17432,382378344370,0.25014,0.23932,0.72217,1,
5.19189,382378381510,0.25040,0.23924,0.73975,1,
5.20850,382378417879,0.25061,0.23936,0.75635,1,
5.22510,382378453369,0.25073,0.23914,0.77295,1,
5.24219,382378489713,0.24988,0.23880,0.79004,1,
5.25732,382378521561,0.25054,0.23798,0.80518,1,
5.27295,382378555867,0.25121,0.23733,0.82080,1,
5.28906,382378590538,0.25189,0.23767,0.83691,1,
5.30664,382378627573,0.25229,0.23835,0.85449,1,
5.32471,382378666225,0.25274,0.23919,0.87256,1,
5.34277,382378705620,0.25330,0.24014,0.89063,1,
5.35547,382378732573,0.25392,0.23966,0.90332,1,
5.37354,382378771129,0.25449,0.23904,0.92139,1,
5.38770,382378801785,0.25489,0.23948,0.93555,1,
5.40479,382378837874,0.25565,0.23988,0.95264,1,
5.42090,382378873091,0.25655,0.24087,0.96875,1,
5.43701,382378907602,0.25762,0.24213,0.98486,1,
5.45361,382378943215,0.25883,0.24339,1.00146,1,
5.47119,382378980719,0.26005,0.24461,1.01904,1,
5.48682,382379013860,0.28135,0.26406,1.01904,0,
5.50293,382379049025,0.29444,0.26855,1.01904,0,
5.51953,382379083850,0.29869,0.26858,1.01904,0,
5.53564,382379118589,0.29516,0.27775,0.04883,1,
5.55225,382379154011,0.29521,0.27974,0.06543,1,
5.56836,382379189210,0.29502,0.28043,0.08154,1,
5.58447,382379223783,0.29748,0.27840,0.09766,1,
5.60107,382379258979,0.29671,0.28112,0.11426,1,
5.61865,382379296986,0.29646,0.28487,0.13184,1,
5.63428,382379330532,0.29733,0.28683,0.14746,1,
5.65234,382379368550,0.29861,0.28529,0.16553,1,
5.66797,382379402082,0.29975,0.28419,0.18115,1,
5.68359,382379435440,0.30215,0.28353,0.19678,1,
5.69971,382379470667,0.30473,0.28272,0.21289,1,
5.71631,382379505894,0.30687,0.28147,0.22949,1,
5.73291,382379540986,0.30754,0.28192,0.24609,1,
5.74902,382379576094,0.30834,0.28315,0.26221,1,
5.76611,382379612841,0.30892,0.28375,0.27930,1,
5.78223,382379647197,0.30849,0.28428,0.29541,1,
5.79883,382379682492,0.30915,0.28328,0.31201,1,
5.81592,382379719078,0.30982,0.28276,0.32910,1,
5.83105,382379752119,0.31063,0.28376,0.34424,1,
5.84766,382379787503,0.31058,0.28457,0.36084,1,
5.86475,382379823606,0.31044,0.28483,0.37793,1,
5.88086,382379858263,0.31048,0.28331,0.39404,1,
5.89697,382379893122,0.31043,0.28145,0.41016,1,
5.91553,382379932829,0.31034,0.27957,0.42871,1,
5.92969,382379963057,0.31101,0.27891,0.44287,1,
5.94678,382379999721,0.31147,0.27927,0.45996,1,
5.96680,382380042679,0.31200,0.28013,0.47998,1,
5.98047,382380072150,0.31190,0.28056,0.49365,1,
5.99707,382380107754,0.31239,0.28016,0.51025,1,
6.02148,382380160065,0.31284,0.27966,0.53467,1,
6.02881,382380175289,0.31297,0.27875,0.54199,1,
6.04492,382380210603,0.31401,0.27895,0.55811,1,
6.06250,382380247550,0.31497,0.27904,0.57568,1,
6.07861,382380282410,0.31592,0.27830,0.59180,1,
6.09521,382380317573,0.31643,0.27710,0.60840,1,
6.11182,382380353566,0.31692,0.27600,0.62500,1,
6.12842,382380389619,0.31751,0.27527,0.64160,1,
6.14355,382380421927,0.31864,0.27451,0.65674,1,
6.16016,382380457207,0.33900,0.25759,0.65674,0,
6.17773,382380495193,0.33294,0.24876,0.65674,0,
6.19385,382380529170,0.32720,0.24118,0.65674,0,
6.21240,382380569199,0.32402,0.23638,0.05225,1,
6.22656,382380600083,0.32318,0.23427,0.06641,1,
6.24316,382380635400,0.32300,0.23085,0.08301,1,
6.25879,382380668982,0.32293,0.22961,0.09863,1,
6.27490,382380703143,0.32407,0.23223,0.11475,1,
6.29150,382380738442,0.32396,0.23338,0.13135,1,
6.30762,382380773551,0.32391,0.23502,0.14746,1,
6.32471,382380809475,0.32514,0.23671,0.16455,1,
6.34033,382380843556,0.32602,0.23922,0.18018,1,
6.35693,382380879120,0.32673,0.24072,0.19678,1,
6.37305,382380913694,0.32925,0.24025,0.21289,1,
6.38965,382380949286,0.32972,0.23876,0.22949,1,
6.40625,382380984832,0.33010,0.23634,0.24609,1,
6.42236,382381019539,0.32983,0.23315,0.26221,1,
6.43945,382381055454,0.33108,0.22962,0.27930,1,
6.45605,382381091176,0.33221,0.22690,0.29590,1,
6.47217,382381125897,0.33314,0.22465,0.31201,1,
6.48926,382381162261,0.33392,0.22331,0.32910,1,
6.50488,382381196666,0.33463,0.22182,0.34473,1,
6.52100,382381231131,0.33547,0.22146,0.36084,1,
6.53809,382381267135,0.33446,0.21777,0.37793,1,
6.55420,382381301566,0.34085,0.18439,0.37793,0,
6.57031,382381336563,0.34085,0.18439,0.37793,0,
6.58691,382381372011,0.34020,0.21154,0.37793,0,
6.60352,382381407567,0.33999,0.22059,0.04932,1,
6.61963,382381441879,0.33890,0.22146,0.06543,1,
6.63672,382381478442,0.33915,0.22783,0.08252,1,
6.65430,382381516304,0.33969,0.23334,0.10010,1,
6.68652,382381585785,0.33854,0.23783,0.13232,1,
6.70264,382381619872,0.33864,0.24177,0.14844,1,
6.71875,382381654555,0.33253,0.23788,0.16455,1,
6.73535,382381690262,0.32827,0.23363,0.18115,1,
6.75146,382381724284,0.32472,0.23009,0.19727,1,
6.76807,382381760211,0.32278,0.22662,0.21387,1,
6.78467,382381795642,0.32230,0.22354,0.23047,1,
6.80029,382381829307,0.32189,0.22087,0.24609,1,
6.81689,382381864746,0.32343,0.21721,0.26270,1,
6.83301,382381899421,0.32343,0.21582,0.27881,1,
6.84961,382381935045,0.32343,0.21459,0.29541,1,
6.86621,382381970390,0.32143,0.21418,0.31201,1,
6.88281,382382006157,0.31947,0.21337,0.32861,1,
6.89990,382382042616,0.30198,0.19079,0.32861,0,
6.91699,382382079351,0.30769,0.19106,0.32861,0,
6.93311,382382114562,0.30590,0.17017,0.32861,0,
6.94873,382382147830,0.30500,0.15973,0.04883,1,
6.96484,382382181798,0.30500,0.15973,0.06494,1,
6.98193,382382218747,0.30500,0.15973,0.08203,1,
7.00342,382382264622,0.30500,0.15973,0.10352,1,
7.01465,382382289249,0.29949,0.16838,0.11475,1,
7.03125,382382324030,0.30596,0.17338,0.13135,1,
7.04688,382382358267,0.31058,0.17696,0.14697,1,
7.06299,382382392397,0.31058,0.17696,0.16309,1,
7.07959,382382428247,0.31058,0.17696,0.17969,1,
7.09619,382382463626,0.31058,0.17696,0.19629,1,
7.11230,382382498658,0.31202,0.17466,0.19629,0,
7.13037,382382536976,0.31202,0.17466,0.19629,0,
7.14648,382382571627,0.31202,0.17466,0.19629,0,
7.16211,382382605236,0.00000,0.00000,0.19629,0,
7.17920,382382641151,0.00000,0.00000,0.19629,0,
7.19531,382382675767,0.00000,0.00000,0.19629,0,
7.21143,382382710208,0.00000,0.00000,0.19629,0,
7.22803,382382746318,0.00000,0.00000,0.19629,0,
7.24414,382382780548,0.00000,0.00000,0.19629,0,
7.26172,382382818367,0.00000,0.00000,0.19629,0,
7.27832,382382853724,0.00000,0.00000,0.19629,0,
7.29395,382382887619,0.00000,0.00000,0.19629,0,
7.31055,382382922587,0.00000,0.00000,0.19629,0,
7.32715,382382958628,0.00000,0.00000,0.19629,0,
7.34375,382382993892,0.00000,0.00000,0.19629,0,
7.36377,382383037224,0.32580,0.08640,0.19629,0,
7.37598,382383063232,0.31615,0.12976,0.19629,0,
7.39258,382383098439,0.31294,0.14422,0.19629,0,
7.40869,382383133185,0.28440,0.18469,0.19629,0,
7.42969,382383178993,0.27762,0.21228,0.19629,0,
7.45117,382383224197,0.27536,0.22148,0.19629,0,
7.46289,382383249966,0.26662,0.21371,0.05420,1,
7.47559,382383276398,0.26568,0.21209,0.06689,1,
7.49219,382383312395,0.26593,0.21634,0.08350,1,
7.50830,382383347174,0.26726,0.22700,0.09961,1,
7.52441,382383381167,0.26867,0.23423,0.11572,1,
7.54883,382383433796,0.27089,0.24480,0.14014,1,
7.55811,382383453524,0.27344,0.26011,0.14941,1,
7.57471,382383489377,0.27638,0.27095,0.16602,1,
7.59180,382383526062,0.27882,0.27998,0.18311,1,
7.60596,382383556328,0.27890,0.28866,0.19727,1,
7.62256,382383591628,0.28027,0.29548,0.21387,1,
7.64551,382383641107,0.28134,0.30076,0.23682,1,
7.65625,382383664095,0.28757,0.33563,0.23682,0,
7.67334,382383700514,0.29139,0.34677,0.23682,0,
7.69092,382383738443,0.29232,0.34641,0.23682,0,
7.70459,382383767846,0.28278,0.33146,0.04834,1,
7.72119,382383803004,0.27661,0.31973,0.06494,1,
7.73779,382383839251,0.27249,0.31192,0.08154,1,
7.75439,382383874148,0.27015,0.30995,0.09814,1,
7.77148,382383910791,0.26911,0.30804,0.11523,1,
7.78809,382383946388,0.26830,0.30655,0.13184,1,
7.80371,382383980252,0.26634,0.30655,0.14746,1,
7.81982,382384014757,0.26474,0.30673,0.16357,1,
7.83594,382384049724,0.26341,0.30689,0.17969,1,
7.85303,382384086192,0.26161,0.30332,0.19678,1,
7.87158,382384126169,0.26040,0.30125,0.21533,1,
7.89209,382384169130,0.25935,0.29945,0.23584,1,
7.90381,382384194561,0.25765,0.29911,0.24756,1,
7.91943,382384228144,0.25631,0.29803,0.26318,1,
7.93506,382384261926,0.25522,0.29780,0.27881,1,
7.95166,382384297540,0.25485,0.29793,0.29541,1,
7.97900,382384356221,0.25383,0.30042,0.32275,1,
7.98535,382384369488,0.25281,0.30198,0.32910,1,
8.00635,382384414328,0.25358,0.30119,0.35010,1,
8.02637,382384457956,0.25367,0.29924,0.37012,1,
8.03418,382384474359,0.25369,0.29690,0.37793,1,
8.05029,382384508257,0.25355,0.29646,0.39404,1,
8.06689,382384544707,0.25319,0.29674,0.41064,1,
8.08496,382384582685,0.25293,0.29752,0.42871,1,
8.10156,382384618700,0.25398,0.29732,0.44531,1,
8.12744,382384673879,0.25431,0.29815,0.47119,1,
8.13721,382384695181,0.25457,0.29845,0.48096,1,
8.17236,382384770089,0.25474,0.29819,0.51611,1,
8.17480,382384776030,0.25619,0.29735,0.51855,1,
8.18213,382384791712,0.25748,0.29564,0.52588,1,
8.20166,382384833564,0.25731,0.29384,0.54541,1,
8.21680,382384865584,0.25845,0.29171,0.56055,1,
8.23828,382384912156,0.25949,0.28925,0.58203,1,
